Name,Location,Country,Latitude,Longitude,Altitude (m),N. races,Wikipedia,Circuit,Map,Type,Direction,Loc,Last length used,Grands Prix,Season(s),Grands Prix held,City,Ctry
Scandinavian Raceway,Anderstorp,Sweden,57.2653,13.6042,153,6,Link,Scandinavian Raceway,,Race circuit,Clockwise,"Anderstorp, Sweden",4.031 km (2.505 mi),Swedish Grand Prix,1973–1978,6.0,Anderstorp, Sweden
Aintree,Liverpool,UK,53.4769,-2.94056,20,5,Link,Aintree Motor Racing Circuit,,Road circuit,Clockwise,"Aintree, United Kingdom",4.828 km (3.000 mi),British Grand Prix,"1955, 1957, 1959, 1961–1962",5.0,Liverpool, United Kingdom
Donington Park,Castle Donington,UK,52.8306,-1.37528,88,1,Link,Donington Park,,Race circuit,Clockwise,"Castle Donington, United Kingdom",4.020 km (2.498 mi),European Grand Prix,1993,1.0,Castle Donington, United Kingdom
AVUS,Berlin,Germany,52.4806,13.2514,53,1,Link,AVUS,,Road circuit,Anti-clockwise,"Berlin, Germany",8.300 km (5.157 mi),German Grand Prix,1959,1.0,Berlin, Germany
Circuit Park Zandvoort,Zandvoort,Netherlands,52.3888,4.54092,0,32,Link,Circuit Zandvoort ✔,,Race circuit,Clockwise,"Zandvoort, Netherlands",4.259 km (2.646 mi),Dutch Grand Prix,"1952–1953, 1955, 1958–1971, 1973–1985, 2021",31.0,Zandvoort, Netherlands
Silverstone Circuit,Silverstone,UK,52.0786,-1.01694,0,57,Link,Silverstone Circuit ✔,,Race circuit,Clockwise,"Silverstone, United Kingdom",5.891 km (3.660 mi),"British Grand Prix,70th Anniversary Grand Prix","1950–1954, 1956, 1958, 1960, 1963, 1965, 1967, 1969, 1971, 1973, 1975, 1977, 1979, 1981, 1983, 1985, 1987–2021[a]",56.0,Silverstone, United Kingdom
Brands Hatch,Kent,UK,51.3569,0.263056,145,14,Link,Brands Hatch Circuit,,Race circuit,Clockwise,"West Kingsdown, United Kingdom",3.703 km (2.301 mi),"British Grand Prix,European Grand Prix","1964, 1966, 1968, 1970, 1972, 1974, 1976, 1978, 1980, 1982–1986",14.0,Kent, United Kingdom
Zolder,Heusden-Zolder,Belgium,50.9894,5.25694,36,10,Link,Circuit Zolder,,Race circuit,Clockwise,"Heusden-Zolder, Belgium",4.262 km (2.648 mi),Belgian Grand Prix,"1973, 1975–1982, 1984",10.0,Heusden-Zolder, Belgium
Nivelles-Baulers,Brussels,Belgium,50.6211,4.32694,139,2,Link,Complexe Européen de Nivelles-Baulers,,Race circuit,Clockwise,"Nivelles, Belgium",3.724 km (2.314 mi),Belgian Grand Prix,"1972, 1974",2.0,Brussels, Belgium
Circuit de Spa-Francorchamps,Spa,Belgium,50.4372,5.97139,0,55,Link,Circuit de Spa-Francorchamps ✔,,Race circuit,Clockwise,"Spa, Belgium",7.004 km (4.352 mi),Belgian Grand Prix,"1950–1956, 1958, 1960–1968, 1970, 1983, 1985–2002, 2004–2005, 2007–2021",54.0,Spa, Belgium
Nürburgring,Nürburg,Germany,50.3356,6.9475,578,41,Link,Nürburgring,,Race circuit,Clockwise,"Nürburg, Germany",5.148 km (3.199 mi),"German Grand Prix,European Grand Prix,Luxembourg Grand Prix,Eifel Grand Prix","1951–1954, 1956–1958, 1961–1969, 1971–1976, 1984–1985, 1995–2007, 2009, 2011, 2013, 2020",41.0,Nürburg, Germany
Rouen-Les-Essarts,Rouen,France,49.3306,1.00458,81,5,Link,Rouen-Les-Essarts,,Road circuit,Clockwise,"Orival, France",6.542 km (4.065 mi),French Grand Prix,"1952, 1957, 1962, 1964, 1968",5.0,Rouen, France
Hockenheimring,Hockenheim,Germany,49.3278,8.56583,103,37,Link,Hockenheimring,,Race circuit,Clockwise,"Hockenheim, Germany",4.574 km (2.842 mi),German Grand Prix,"1970, 1977–1984, 1986–2006, 2008, 2010, 2012, 2014, 2016, 2018–2019",37.0,Hockenheim, Germany
Reims-Gueux,Reims,France,49.2542,3.93083,88,11,Link,Circuit de Reims-Gueux,,Road circuit,Clockwise,"Gueux, France",8.302 km (5.159 mi),French Grand Prix,"1950–1951, 1953–1954, 1956, 1958–1961, 1963, 1966",11.0,Reims, France
