Circuit,Date,Year,Pole position,Fastest lap,Winning driver,Winning constructor,Circuit Name,City,Name,Location,Country,Latitude,Longitude,Altitude (m),N. races,Wikipedia,Race date
"Albert Park Circuit, Melbourne",26 March,2017,Lewis Hamilton,Kimi Räikkönen,Sebastian Vettel,Ferrari,Albert Park Circuit, Melbourne,Albert Park Circuit,Melbourne,Australia,-37.8497,144.968,0.0,25.0,Link,
"Shanghai International Circuit, Shanghai",9 April,2017,Lewis Hamilton,Lewis Hamilton,Lewis Hamilton,Mercedes,Shanghai International Circuit, Shanghai,Shanghai International Circuit,Shanghai,China,31.3389,121.22,5.0,16.0,Link,
"Bahrain International Circuit, Sakhir",16 April,2017,Valtteri Bottas,Lewis Hamilton,Sebastian Vettel,Ferrari,Bahrain International Circuit, Sakhir,Bahrain International Circuit,Sakhir,Bahrain,26.0325,50.5106,0.0,19.0,Link,
"Sochi Autodrom, Sochi",30 April,2017,Sebastian Vettel,Kimi Räikkönen,Valtteri Bottas,Mercedes,Sochi Autodrom, Sochi,Sochi Autodrom,Sochi,Russia,43.4057,39.9578,0.0,8.0,Link,
"Circuit de Barcelona-Catalunya, Barcelona",14 May,2017,Lewis Hamilton,Lewis Hamilton,Lewis Hamilton,Mercedes,Circuit de Barcelona-Catalunya, Barcelona,Circuit de Barcelona-Catalunya,Montmeló,Spain,41.57,2.26111,0.0,32.0,Link,
"Circuit de Monaco, Monte Carlo",28 May,2017,Kimi Räikkönen,Sergio Pérez,Sebastian Vettel,Ferrari,Circuit de Monaco, Monte Carlo,Circuit de Monaco,Monte-Carlo,Monaco,43.7347,7.42056,0.0,68.0,Link,
"Circuit Gilles Villeneuve, Montreal",11 June,2017,Lewis Hamilton,Lewis Hamilton,Lewis Hamilton,Mercedes,Circuit Gilles Villeneuve, Montreal,Circuit Gilles Villeneuve,Montreal,Canada,45.5,-73.5228,0.0,41.0,Link,
"Baku City Circuit, Baku",25 June,2017,Lewis Hamilton,Sebastian Vettel,Daniel Ricciardo,Red Bull Racing-TAG Heuer,Baku City Circuit, Baku,Baku City Circuit,Baku,Azerbaijan,40.3725,49.8533,0.0,6.0,Link,
"Red Bull Ring, Spielberg",9 July,2017,Valtteri Bottas,Lewis Hamilton,Valtteri Bottas,Mercedes,Red Bull Ring, Spielberg,Red Bull Ring,Spielberg,Austria,47.2197,14.7647,0.0,11.0,Link,
"Silverstone Circuit, Silverstone",16 July,2017,Lewis Hamilton,Lewis Hamilton,Lewis Hamilton,Mercedes,Silverstone Circuit, Silverstone,Silverstone Circuit,Silverstone,UK,52.0786,-1.01694,0.0,57.0,Link,
"Hungaroring, Budapest",30 July,2017,Sebastian Vettel,Fernando Alonso,Sebastian Vettel,Ferrari,Hungaroring, Budapest,Hungaroring,Budapest,Hungary,47.5789,19.2486,0.0,37.0,Link,
"Circuit de Spa-Francorchamps, Stavelot",27 August,2017,Lewis Hamilton,Sebastian Vettel,Lewis Hamilton,Mercedes,Circuit de Spa-Francorchamps, Stavelot,Circuit de Spa-Francorchamps,Spa,Belgium,50.4372,5.97139,0.0,55.0,Link,
"Autodromo Nazionale di Monza, Monza",3 September,2017,Lewis Hamilton,Daniel Ricciardo,Lewis Hamilton,Mercedes,Autodromo Nazionale di Monza, Monza,Autodromo Nazionale di Monza,Monza,Italy,45.6156,9.28111,0.0,72.0,Link,
"Marina Bay Street Circuit, Singapore",17 September,2017,Sebastian Vettel,Lewis Hamilton,Lewis Hamilton,Mercedes,Marina Bay Street Circuit, Singapore,Marina Bay Street Circuit,Marina Bay,Singapore,1.2914,103.864,0.0,13.0,Link,
"Sepang International Circuit, Kuala Lumpur",1 October,2017,Lewis Hamilton,Sebastian Vettel,Max Verstappen,Red Bull Racing-TAG Heuer,Sepang International Circuit, Kuala Lumpur,Sepang International Circuit,Kuala Lumpur,Malaysia,2.76083,101.738,18.0,19.0,Link,
"Suzuka International Racing Course, Suzuka",8 October,2017,Lewis Hamilton,Valtteri Bottas,Lewis Hamilton,Mercedes,Suzuka International Racing Course, Suzuka,,,,,,,,,
"Circuit of the Americas, Austin, Texas",22 October,2017,Lewis Hamilton,Sebastian Vettel,Lewis Hamilton,Mercedes,Circuit of the Americas, Austin,Circuit of the Americas,Austin,USA,30.1328,-97.6411,0.0,10.0,Link,
"Autódromo Hermanos Rodríguez, Mexico City",29 October,2017,Sebastian Vettel,Sebastian Vettel,Max Verstappen,Red Bull Racing-TAG Heuer,Autódromo Hermanos Rodríguez, Mexico City,Autódromo Hermanos Rodríguez,Mexico City,Mexico,19.4042,-99.0907,0.0,22.0,Link,
"Autódromo José Carlos Pace, São Paulo",12 November,2017,Valtteri Bottas,Max Verstappen,Sebastian Vettel,Ferrari,Autódromo José Carlos Pace, São Paulo,Autódromo José Carlos Pace,São Paulo,Brazil,-23.7036,-46.6997,0.0,39.0,Link,
"Yas Marina Circuit, Abu Dhabi",26 November,2017,Valtteri Bottas,Valtteri Bottas,Valtteri Bottas,Mercedes,Yas Marina Circuit, Abu Dhabi,Yas Marina Circuit,Abu Dhabi,UAE,24.4672,54.6031,0.0,14.0,Link,
"Melbourne Grand Prix Circuit, Melbourne",25 March,2018,Lewis Hamilton,Daniel Ricciardo,Sebastian Vettel,Ferrari,Melbourne Grand Prix Circuit, Melbourne,,,,,,,,,
"Bahrain International Circuit, Sakhir",8 April,2018,Sebastian Vettel,Valtteri Bottas,Sebastian Vettel,Ferrari,Bahrain International Circuit, Sakhir,Bahrain International Circuit,Sakhir,Bahrain,26.0325,50.5106,0.0,19.0,Link,
"Shanghai International Circuit, Shanghai",15 April,2018,Sebastian Vettel,Daniel Ricciardo,Daniel Ricciardo,Red Bull Racing-TAG Heuer,Shanghai International Circuit, Shanghai,Shanghai International Circuit,Shanghai,China,31.3389,121.22,5.0,16.0,Link,
"Baku City Circuit, Baku",29 April,2018,Sebastian Vettel,Valtteri Bottas,Lewis Hamilton,Mercedes,Baku City Circuit, Baku,Baku City Circuit,Baku,Azerbaijan,40.3725,49.8533,0.0,6.0,Link,
"Circuit de Barcelona-Catalunya, Montmeló",13 May,2018,Lewis Hamilton,Daniel Ricciardo,Lewis Hamilton,Mercedes,Circuit de Barcelona-Catalunya, Montmeló,Circuit de Barcelona-Catalunya,Montmeló,Spain,41.57,2.26111,0.0,32.0,Link,
"Circuit de Monaco, Monte Carlo",27 May,2018,Daniel Ricciardo,Max Verstappen,Daniel Ricciardo,Red Bull Racing-TAG Heuer,Circuit de Monaco, Monte Carlo,Circuit de Monaco,Monte-Carlo,Monaco,43.7347,7.42056,0.0,68.0,Link,
"Circuit Gilles Villeneuve, Montreal",10 June,2018,Sebastian Vettel,Max Verstappen[c],Sebastian Vettel,Ferrari,Circuit Gilles Villeneuve, Montreal,Circuit Gilles Villeneuve,Montreal,Canada,45.5,-73.5228,0.0,41.0,Link,
"Circuit Paul Ricard, Le Castellet",24 June,2018,Lewis Hamilton,Valtteri Bottas,Lewis Hamilton,Mercedes,Circuit Paul Ricard, Le Castellet,Circuit Paul Ricard,Le Castellet,France,43.2506,5.79167,0.0,18.0,Link,
"Red Bull Ring, Spielberg",1 July,2018,Valtteri Bottas,Kimi Räikkönen,Max Verstappen,Red Bull Racing-TAG Heuer,Red Bull Ring, Spielberg,Red Bull Ring,Spielberg,Austria,47.2197,14.7647,0.0,11.0,Link,
"Silverstone Circuit, Silverstone",8 July,2018,Lewis Hamilton,Sebastian Vettel,Sebastian Vettel,Ferrari,Silverstone Circuit, Silverstone,Silverstone Circuit,Silverstone,UK,52.0786,-1.01694,0.0,57.0,Link,
"Hockenheimring, Hockenheim",22 July,2018,Sebastian Vettel,Lewis Hamilton,Lewis Hamilton,Mercedes,Hockenheimring, Hockenheim,Hockenheimring,Hockenheim,Germany,49.3278,8.56583,103.0,37.0,Link,
"Hungaroring, Mogyoród",29 July,2018,Lewis Hamilton,Daniel Ricciardo,Lewis Hamilton,Mercedes,Hungaroring, Mogyoród,Hungaroring,Budapest,Hungary,47.5789,19.2486,0.0,37.0,Link,
"Circuit de Spa-Francorchamps, Stavelot",26 August,2018,Lewis Hamilton,Valtteri Bottas,Sebastian Vettel,Ferrari,Circuit de Spa-Francorchamps, Stavelot,Circuit de Spa-Francorchamps,Spa,Belgium,50.4372,5.97139,0.0,55.0,Link,
"Autodromo Nazionale di Monza, Monza",2 September,2018,Kimi Räikkönen,Lewis Hamilton,Lewis Hamilton,Mercedes,Autodromo Nazionale di Monza, Monza,Autodromo Nazionale di Monza,Monza,Italy,45.6156,9.28111,0.0,72.0,Link,
"Marina Bay Street Circuit, Singapore",16 September,2018,Lewis Hamilton,Kevin Magnussen,Lewis Hamilton,Mercedes,Marina Bay Street Circuit, Singapore,Marina Bay Street Circuit,Marina Bay,Singapore,1.2914,103.864,0.0,13.0,Link,
"Sochi Autodrom, Sochi",30 September,2018,Valtteri Bottas,Valtteri Bottas,Lewis Hamilton,Mercedes,Sochi Autodrom, Sochi,Sochi Autodrom,Sochi,Russia,43.4057,39.9578,0.0,8.0,Link,
"Suzuka International Racing Course, Suzuka",7 October,2018,Lewis Hamilton,Sebastian Vettel,Lewis Hamilton,Mercedes,Suzuka International Racing Course, Suzuka,,,,,,,,,
"Circuit of the Americas, Austin, Texas",21 October,2018,Lewis Hamilton,Lewis Hamilton,Kimi Räikkönen,Ferrari,Circuit of the Americas, Austin,Circuit of the Americas,Austin,USA,30.1328,-97.6411,0.0,10.0,Link,
"Autódromo Hermanos Rodríguez, Mexico City",28 October,2018,Daniel Ricciardo,Valtteri Bottas,Max Verstappen,Red Bull Racing-TAG Heuer,Autódromo Hermanos Rodríguez, Mexico City,Autódromo Hermanos Rodríguez,Mexico City,Mexico,19.4042,-99.0907,0.0,22.0,Link,
"Autódromo José Carlos Pace, São Paulo",11 November,2018,Lewis Hamilton,Valtteri Bottas,Lewis Hamilton,Mercedes,Autódromo José Carlos Pace, São Paulo,Autódromo José Carlos Pace,São Paulo,Brazil,-23.7036,-46.6997,0.0,39.0,Link,
"Yas Marina Circuit, Abu Dhabi",25 November,2018,Lewis Hamilton,Sebastian Vettel,Lewis Hamilton,Mercedes,Yas Marina Circuit, Abu Dhabi,Yas Marina Circuit,Abu Dhabi,UAE,24.4672,54.6031,0.0,14.0,Link,
"Albert Park Circuit, Melbourne",17 March,2019,Lewis Hamilton,Valtteri Bottas,Valtteri Bottas,Mercedes,Albert Park Circuit, Melbourne,Albert Park Circuit,Melbourne,Australia,-37.8497,144.968,0.0,25.0,Link,
"Bahrain International Circuit, Sakhir",31 March,2019,Charles Leclerc,Charles Leclerc,Lewis Hamilton,Mercedes,Bahrain International Circuit, Sakhir,Bahrain International Circuit,Sakhir,Bahrain,26.0325,50.5106,0.0,19.0,Link,
"Shanghai International Circuit, Shanghai",14 April,2019,Valtteri Bottas,Pierre Gasly,Lewis Hamilton,Mercedes,Shanghai International Circuit, Shanghai,Shanghai International Circuit,Shanghai,China,31.3389,121.22,5.0,16.0,Link,
"Baku City Circuit, Baku",28 April,2019,Valtteri Bottas,Charles Leclerc,Valtteri Bottas,Mercedes,Baku City Circuit, Baku,Baku City Circuit,Baku,Azerbaijan,40.3725,49.8533,0.0,6.0,Link,
"Circuit de Barcelona-Catalunya, Montmeló",12 May,2019,Valtteri Bottas,Lewis Hamilton,Lewis Hamilton,Mercedes,Circuit de Barcelona-Catalunya, Montmeló,Circuit de Barcelona-Catalunya,Montmeló,Spain,41.57,2.26111,0.0,32.0,Link,
